Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-2.3653531008872104,-569.1662831276712
10-14 years,0.0873715058951694,47.20825752785671
15-19 years,-0.507576439683668,-387.81636738014896
20-24 years,0.23881929236301014,184.4779039866541
25-29 years,-0.10354777198471021,-102.05934317491497
30-34 years,1.318486339208123,702.5395053472074
35-39 years,0.0807882660632524,32.61810650168466
40-44 years,0.11222312492046016,115.71513262051641
45-49 years,-0.9427538743037931,-1701.4435017244843
5-9 years,1.743694615484082,884.2489520818563
50-54 years,-0.7953809463276025,-988.7195697266501
55-59 years,0.16374669135401554,232.16423617981968
60-64 years,-0.4269184574075868,-600.9851003629441
65-69 years,-0.013012020550221992,-13.159567234366305
70-74 years,-0.28692606706510393,-242.66782164443512
75-79 years,0.4004049984692988,272.9138687534824
80-84 years,0.14028057752426215,59.57890776774432
< 1 year,1.0911343333375676,177.8340229342268
