Year,Hypothetical_Excess_Deaths
2000,10.073871106145313
2002,1.5004343583945492
2003,1.9355934482063237
2004,-4.8414258050653824
2005,-5.379847552816143
2006,0.31715536927379606
2007,-6.906284511018319
2008,-15.43756330103942
2009,5.979611596774709
2010,12.882995498534582
2011,0.45772057295722
2012,-1.5240004941894765
2013,7.005698163755353
2014,2.5994551362841314
2015,6.873269923383522
2016,-3.2719922832807766
2017,1.672632711614987
2018,-11.508440403341684
2019,1.625101098662706
2020,2.2025351370881414
2021,-8.459993965592826
2022,25.48849663961558
