Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,22.57794261855129,41924.78228515457
10-14 years,2.897017073476217,7115.549217078664
15-19 years,31.64516743844318,79513.40812649694
20-24 years,73.32016224328531,185524.7934235517
25-29 years,86.12985043397053,212860.09620902667
30-34 years,79.36090418011946,192870.2522834422
35-39 years,73.00123852479531,176494.48701109312
40-44 years,73.26567283932454,178314.8107359435
45-49 years,79.34017179542198,192785.80974467343
5-9 years,0.23164267733255528,547.9608018895022
50-54 years,85.86726045090575,202790.0230789972
55-59 years,86.5253807813308,186977.95693878306
60-64 years,84.12995353813508,154468.68402205312
65-69 years,69.21765699673361,101760.9586239546
70-74 years,41.41595489369814,46800.008321901456
75-79 years,11.192396093995967,9121.816695177871
80-84 years,-45.233207760093194,-24275.101154510143
< 1 year,1393.6418425085321,643826.0596319234
