Year,excess_deaths_male
2000,5400.342204914665
2001,4984.038922187483
2002,4339.0362511814365
2003,4283.691788271298
2004,3667.9771305955255
2005,3954.034820933716
2006,3450.9158717841196
2007,3144.8960033796766
2008,3834.547599489283
2009,4163.563719047397
2010,3034.953401549271
2011,2821.78141588824
2012,3257.421235734665
2013,3208.921008053736
2014,3366.819343908945
2015,3594.729254010297
2016,3905.005501020816
2017,3782.1952352744484
2018,3550.7047014111986
2019,3930.3852137484173
2020,4411.528589925527
2021,4674.126495972671
2022,4760.730787179039
