Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,573.8254041430309,0.3090247901512888
10-14 years,834.4024767328874,0.3397177290888651
15-19 years,2771.6177962785496,1.103063134950391
20-24 years,4166.611454884229,1.646662002632695
25-29 years,1865.0658261156368,0.7546639483574449
30-34 years,-4531.498015368146,-1.86458915012736
35-39 years,-14633.817937049134,-6.052805681595071
40-44 years,-22950.311531252082,-9.429783253951285
45-49 years,-15246.461214688781,-6.2746156143324185
5-9 years,682.8902684131117,0.28868220054079563
50-54 years,26664.44483121112,11.290510224995131
55-59 years,109065.91056393803,50.47102661891307
60-64 years,200439.25994152424,109.16740653847432
65-69 years,272778.79101383325,185.54373944286488
70-74 years,323249.1740715018,286.0613425682949
75-79 years,357719.6230233542,438.9191150474252
80-84 years,354728.8406993147,660.9868790131882
< 1 year,-27.964726785326093,-0.06053314055760728
