Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,11.433476299257762,21230.721182496018
10-14 years,11.62983718770343,28564.78812408864
15-19 years,54.67369184611644,137376.15963002958
20-24 years,76.33386956970455,193150.49162260577
25-29 years,11.154365238320963,27566.740750349265
30-34 years,-141.89025960462192,-344834.9089420032
35-39 years,-357.3566020538651,-863978.0835787007
40-44 years,-536.7542985286839,-1306358.5912019967
45-49 years,-515.664243244617,-1252993.8673012045
5-9 years,9.529037421915376,22541.351391184187
50-54 years,-150.03520380596638,-354333.4477273757
55-59 years,580.7630790588282,1255006.2537410595
60-64 years,1387.6801190095666,2547881.1387885786
65-69 years,2114.0721901173747,3108022.172387882
70-74 years,2693.6071850051867,3043774.772252269
75-79 years,3269.2670685040866,2664456.714721996
80-84 years,3854.1587574762525,2068393.9595771967
< 1 year,-19.622863736094928,-9065.249515731884
