Age Group,Female Death Rate,Male Death Rate
1-4 years,2.3933414449146038,2.7023662350658926
10-14 years,2.210193370905001,2.549911099993866
15-19 years,2.6567039764702853,3.7597671114206763
20-24 years,3.591768573683866,5.238430576316561
25-29 years,6.221988358161358,6.976652306518803
30-34 years,12.414757250638267,10.550168100510907
35-39 years,24.027388776491605,17.974583094896534
40-44 years,44.721346591934854,35.29156333798357
45-49 years,79.98203965766706,73.70742404333464
5-9 years,2.268024242103262,2.5567064426440576
50-54 years,134.21931386244083,145.50982408743596
55-59 years,211.7234552884196,262.19448190733266
60-64 years,319.16047887963754,428.32788541811186
65-69 years,457.3255187222521,642.869258165117
70-74 years,642.31871423704,928.3800568053349
75-79 years,868.2469942949361,1307.1661093423613
80-84 years,1108.0331816771322,1769.0200606903204
< 1 year,3.0044228409763516,2.9438897004187443
