Age Group,Female Death Rate,Male Death Rate
1-4 years,1.2822276132444657,1.393188810305991
10-14 years,0.8158746599637747,0.9938261208821695
15-19 years,1.544575844995185,2.5363603049734276
20-24 years,2.9216748515365762,5.008026575864463
25-29 years,5.277060219655544,9.25877265269477
30-34 years,9.517022147730252,17.48842607675174
35-39 years,16.72568453962844,32.57983664815358
40-44 years,30.12847124244995,61.94852078785373
45-49 years,50.28229212101973,110.2102933523294
5-9 years,0.6390419045364997,0.6298764218815551
50-54 years,79.92616390032973,183.83399683593217
55-59 years,124.32501562574451,284.27632614031535
60-64 years,198.70814570398173,426.39713364676834
65-69 years,315.9441013905527,612.5140372575765
70-74 years,546.7366118293506,934.8508561286974
75-79 years,1012.8908178525145,1542.0761813810248
80-84 years,1963.6441818958378,2685.3748819469442
< 1 year,12.024483578316055,13.879574087562492
