Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,2.138978472725384,3971.8502388238517
10-14 years,7.738706866984813,19007.5336775633
15-19 years,53.15944331091461,133571.37452283545
20-24 years,104.07015909568273,263332.67926655326
25-29 years,182.6166021178626,451316.0919276638
30-34 years,335.24276157401965,814738.1468112919
35-39 years,605.303640417412,1463437.5753108887
40-44 years,1085.8117173275157,2642660.653574239
45-49 years,1817.925857008892,4417312.194671366
5-9 years,-3.776780531553136,-8934.138184128404
50-54 years,2761.6582379538454,6522121.875905913
55-59 years,3627.874126296659,7839693.810540072
60-64 years,4244.667216743237,7793516.238953732
65-69 years,4372.417433564491,6428148.666815042
70-74 years,4280.855838436313,4837364.957005115
75-79 years,3980.0914380431113,3243779.457318519
80-84 years,3258.8032191529674,1748887.1938322724
< 1 year,79.90876658516015,36915.75894992246
