Year,Hypothetical_Excess_Deaths
2000,138689.96050497727
2001,133115.72531814128
2002,132818.30103295692
2003,131308.31774912763
2004,124974.80648747773
2005,123770.3656845327
2006,121976.46049191368
2007,119860.29354682693
2008,118316.52080616447
2009,118840.2533734269
2010,118801.42866768612
2011,118869.75837639507
2012,120265.03181286508
2013,125603.07349663964
2014,127304.71570639958
2015,129157.64393914609
2016,132975.51854056242
2017,136704.5594489872
2018,141877.0794481535
2019,143368.69076712168
2020,158404.9746328993
2021,157383.4168497868
2022,155955.84639263668
