Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,206.04286703617663,0.11096119706152541
10-14 years,437.0779827322558,0.17795146091839475
15-19 years,2492.0128071108415,0.9917844599782426
20-24 years,5279.175070295894,2.0863517243278866
25-29 years,9840.347885233588,3.9817124330392257
30-34 years,19372.84740801554,7.971403929021488
35-39 years,38330.4516462357,15.854152108525142
40-44 years,77443.99105895567,31.82004954540378
45-49 years,145616.8795997548,59.92800123130967
5-9 years,-21.681346818908878,-0.009165482654944546
50-54 years,245395.87880699808,103.90783293560244
55-59 years,345648.51353012846,159.95131051457082
60-64 years,418053.4619919035,227.6889879427866
65-69 years,436004.9484815305,296.56993586702384
70-74 years,438568.9020011397,388.11424429934675
75-79 years,431286.7274655865,529.1853635285103
80-84 years,387327.95257366286,721.7307000511064
< 1 year,857.0032675532275,1.8550905092464376
