Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	836	54505227	1.53379785025022
1-4 years	M	1106	56991009	1.94065699029824
10-14 years	F	543	70993737	0.764856201329422
10-14 years	M	631	74025035	0.852414321722374
15-19 years	F	549	72198032	0.76040853855961
15-19 years	M	781	75550932	1.03373972937885
20-24 years	F	975	76260355	1.27851489807515
20-24 years	M	1475	80192752	1.83931834637624
25-29 years	F	1420	78274027	1.81413944628146
25-29 years	M	1932	81087779	2.38260317871081
30-34 years	F	2074	75810445	2.73577077670498
30-34 years	M	2482	76984052	3.2240443773991
35-39 years	F	2926	72640928	4.0280322409978
35-39 years	M	3397	72566087	4.68125007208946
40-44 years	F	4911	70787626	6.93765319944477
40-44 years	M	5003	69843523	7.16315527210734
45-49 years	F	9392	73724569	12.7393081131475
45-49 years	M	9419	72291990	13.0291059908574
5-9 years	F	538	69819546	0.770557860688467
5-9 years	M	664	72883351	0.911044828331233
50-54 years	F	20018	77339639	25.8832343398965
50-54 years	M	20591	74726578	27.5551223555292
55-59 years	F	37694	78300582	48.1401274897293
55-59 years	M	41130	74019679	55.5663041986443
60-64 years	F	56316	71002917	79.3150512393737
60-64 years	M	66303	65128628	101.803157898551
65-69 years	F	79928	60339950	132.462821066308
65-69 years	M	93719	53859859	174.005282858241
70-74 years	F	110500	45862200	240.939161226457
70-74 years	M	121605	39393089	308.696279187448
75-79 years	F	131389	33154498	396.293136454667
75-79 years	M	137759	26598427	517.921604912952
80-84 years	F	151686	24206738	626.627181241851
80-84 years	M	145705	17397051	837.527003858298
< 1 year	F	1397	13389903	10.4332346545005
< 1 year	M	1993	14018968	14.2164530227903
