Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	934	55141393	1.69382735760774
1-4 years	M	1142	57592037	1.98291301972875
10-14 years	F	498	70946390	0.701938463676587
10-14 years	M	623	74346273	0.837970721141596
15-19 years	F	619	74597953	0.829781482073644
15-19 years	M	841	78726350	1.0682573242631
20-24 years	F	950	73754628	1.28805476450915
20-24 years	M	1465	77247274	1.89650705343984
25-29 years	F	1406	72642061	1.93551777117117
25-29 years	M	1804	73771513	2.44538837098271
30-34 years	F	1805	69208434	2.60806363571238
30-34 years	M	2138	69581216	3.07266834773339
35-39 years	F	2680	71466469	3.75001037199697
35-39 years	M	2915	71026064	4.1041271835083
40-44 years	F	5132	75182391	6.82606649208589
40-44 years	M	5375	74260384	7.23804498506229
45-49 years	F	10315	79848889	12.918150933822
45-49 years	M	10609	77905451	13.6177890812801
5-9 years	F	452	68744459	0.657507538171186
5-9 years	M	624	71785330	0.869258384686676
50-54 years	F	18270	77921219	23.4467584497106
50-54 years	M	20409	74871731	27.2586191442535
55-59 years	F	27385	69915755	39.1685679429479
55-59 years	M	32994	65723918	50.2009025085814
60-64 years	F	42914	58345098	73.5520231708241
60-64 years	M	50668	53767510	94.2353477034737
65-69 years	F	63311	44744864	141.493334296423
65-69 years	M	71212	39751700	179.142024114692
70-74 years	F	86912	34985842	248.420489636922
70-74 years	M	95477	29338685	325.430400169605
75-79 years	F	119578	29298124	408.14217319853
75-79 years	M	125651	22386145	561.289136651264
80-84 years	F	155903	24187176	644.56884094282
80-84 years	M	149932	15919008	941.842607278041
< 1 year	F	1685	13794201	12.2152779997914
< 1 year	M	2481	14415623	17.2104944753342
