Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	328	22336273	1.46846342717964
1-4 years	M	370	23348094	1.58471179703148
10-14 years	F	191	30807002	0.619988923297373
10-14 years	M	271	32285044	0.839397957766451
15-19 years	F	265	31361771	0.84497779159219
15-19 years	M	317	32799616	0.966474729460247
20-24 years	F	432	32216459	1.34092949197179
20-24 years	M	586	33608072	1.743628733002
25-29 years	F	641	33209958	1.9301439646506
25-29 years	M	905	34606926	2.61508346624026
30-34 years	F	987	34168790	2.88860097182253
30-34 years	M	1348	35080377	3.84260408603933
35-39 years	F	1423	32891850	4.32629967605957
35-39 years	M	1730	33503721	5.16360555891687
40-44 years	F	2256	31319891	7.20309020232542
40-44 years	M	2627	31519949	8.33440434817962
45-49 years	F	3576	29782564	12.0070253185723
45-49 years	M	3978	29593650	13.4420728771206
5-9 years	F	199	29583597	0.672670061047681
5-9 years	M	252	30954857	0.814088722813354
50-54 years	F	7277	31187369	23.3331641409059
50-54 years	M	7871	30922631	25.4538496417074
55-59 years	F	15441	32621517	47.3337889222013
55-59 years	M	16807	31515910	53.3286203698386
60-64 years	F	27251	32546006	83.7307041607502
60-64 years	M	31160	30608745	101.800972238489
65-69 years	F	36317	28886944	125.721156242765
65-69 years	M	43984	26012465	169.088166000416
70-74 years	F	49405	24153717	204.544087355168
70-74 years	M	57199	20950833	273.015397526199
75-79 years	F	59079	16896822	349.645631586816
75-79 years	M	63762	13855780	460.183403604849
80-84 years	F	60630	11154711	543.537165597567
80-84 years	M	60646	8270854	733.249553190033
< 1 year	F	440	5370106	8.19350679483794
< 1 year	M	597	5612510	10.6369520945174
