Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	3	14876278	0.0201663346167637
1-4 years	M	5	7592228	0.065856820949002
10-14 years	F	6	10187986	0.0588928960051574
10-14 years	M	16	21583191	0.0741317630001977
15-19 years	F	6	20808022	0.0288350329502727
15-19 years	M	25	32799616	0.0762204045315652
20-24 years	F	28	32216459	0.0869120967018753
20-24 years	M	13	33608072	0.0386811834966314
25-29 years	F	36	33209958	0.108401221103622
25-29 years	M	24	34606926	0.0693502797676974
30-34 years	F	71	34168790	0.207791964538399
30-34 years	M	52	35080377	0.14823101815582
35-39 years	F	130	32891850	0.395234685796025
35-39 years	M	108	33503721	0.3223522545451
40-44 years	F	148	31319891	0.472543151570994
40-44 years	M	172	31519949	0.545686162119107
45-49 years	F	244	29782564	0.819271302497663
45-49 years	M	251	29593650	0.848154925127519
5-9 years	M	24	30954857	0.0775322593155575
50-54 years	F	355	31187369	1.13828133434404
50-54 years	M	404	30922631	1.30648650174689
55-59 years	F	551	32621517	1.68906921158817
55-59 years	M	598	31515910	1.89745433338273
60-64 years	F	821	32546006	2.5225829553402
60-64 years	M	833	30608745	2.72144447608028
65-69 years	F	974	28886944	3.37176545916384
65-69 years	M	1090	26012465	4.19029876637989
70-74 years	F	1293	24153717	5.35321333772355
70-74 years	M	1173	20950833	5.59882272938742
75-79 years	F	1363	16896822	8.06660566111189
75-79 years	M	1130	13855780	8.15544126711019
80-84 years	F	1398	11154711	12.532821334412
80-84 years	M	1098	8270854	13.2755335785156
< 1 year	F	11	3543237	0.310450585157019
< 1 year	M	21	5612510	0.374164144028251
