Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	17	30643425	0.0554768274107741
1-4 years	M	27	47757977	0.0565350580071681
10-14 years	F	31	61847729	0.0501231015289179
10-14 years	M	20	43125379	0.046376404019545
15-19 years	F	27	60483811	0.0446400442591159
15-19 years	M	16	42426641	0.0377121535499358
20-24 years	F	54	59376552	0.0909449912147138
20-24 years	M	23	61985703	0.0371053305630816
25-29 years	F	96	56633003	0.169512466079187
25-29 years	M	31	57672370	0.0537519092764872
30-34 years	F	116	60792859	0.190811884665599
30-34 years	M	56	61383658	0.0912294930354265
35-39 years	F	160	64957965	0.246313134963511
35-39 years	M	129	64673296	0.199464087928965
40-44 years	F	243	68912428	0.352621445873305
40-44 years	M	215	67757258	0.317309180368544
45-49 years	F	332	65053497	0.510349197676491
45-49 years	M	331	63195287	0.52377323644404
5-9 years	F	16	28899445	0.0553643850253872
5-9 years	M	16	40456517	0.0395486344017207
50-54 years	F	395	58107486	0.67977471956023
50-54 years	M	393	55645932	0.706251087680587
55-59 years	F	529	47669658	1.10972056900429
55-59 years	M	486	44836574	1.08393652021673
60-64 years	F	582	37430470	1.55488296032617
60-64 years	M	525	34102355	1.53948312367284
65-69 years	F	759	31525239	2.4075947528899
65-69 years	M	600	27391872	2.19043079640559
70-74 years	F	1164	28979391	4.01664755480886
70-74 years	M	951	23317343	4.07850928812944
75-79 years	F	1778	26104765	6.81101706910597
75-79 years	M	1223	18659772	6.55420655729341
80-84 years	F	2539	19836633	12.7995512141602
80-84 years	M	1430	12079635	11.8381060354887
< 1 year	F	4	1962905	0.203779602171272
< 1 year	M	20	10102571	0.197969407985353
