Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	12	15587293	0.0769857857935948
1-4 years	M	22	48810191	0.0450725546228655
10-14 years	F	16	40500167	0.0395060099381812
10-14 years	M	28	52847463	0.0529826758192725
15-19 years	F	31	72198032	0.0429374584614716
15-19 years	M	19	53978157	0.035199423351931
20-24 years	F	26	76260355	0.0340937306153374
20-24 years	M	46	80192752	0.0573617924971573
25-29 years	F	78	78274027	0.0996499132464464
25-29 years	M	83	81087779	0.102358211093684
30-34 years	F	129	75810445	0.170161248888593
30-34 years	M	112	76984052	0.14548467778755
35-39 years	F	188	72640928	0.258807266338888
35-39 years	M	184	72566087	0.253561970345735
40-44 years	F	243	70787626	0.34328033546428
40-44 years	M	255	69843523	0.365101857762816
45-49 years	F	401	73724569	0.543916370674205
45-49 years	M	434	72291990	0.600343136217443
5-9 years	F	14	39730019	0.0352378386730699
5-9 years	M	8	20824964	0.0384154325548894
50-54 years	F	591	77339639	0.764161829097754
50-54 years	M	670	74726578	0.896602009528658
55-59 years	F	1004	78300582	1.28223823419346
55-59 years	M	1073	74019679	1.4496145004898
60-64 years	F	1308	71002917	1.84217783615848
60-64 years	M	1534	65128628	2.3553390376963
65-69 years	F	1725	60339950	2.85880250149362
65-69 years	M	1644	53859859	3.0523659558782
70-74 years	F	1960	45862200	4.27367200003489
70-74 years	M	1725	39393089	4.37894068170181
75-79 years	F	2124	33154498	6.40637056244978
75-79 years	M	1794	26598427	6.74475975590587
80-84 years	F	2555	24206738	10.5549124380162
80-84 years	M	1863	17397051	10.7087114936894
< 1 year	F	32	11541968	0.277249079186496
< 1 year	M	32	9967107	0.32105604966416
