Year,Hypothetical_Excess_Deaths
2000,355243.7206729965
2001,350919.43386737705
2002,351808.8134235559
2003,349583.2132275701
2004,339303.10370909434
2005,344884.9014398493
2006,341056.95456670236
2007,338594.3680374532
2008,338945.02598157345
2009,333628.5163368852
2010,335614.24633347424
2011,336012.5949310972
2012,339864.1724808514
2013,347881.4829025985
2014,353851.1788889729
2015,366115.21941030235
2016,378595.7354772013
2017,388934.56274675037
2018,399239.4131841622
2019,406774.4816928872
2020,516021.59183253936
2021,530490.8843903001
2022,477840.40553005075
