Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,340.85450265030136,632929.7162260863
10-14 years,319.033814422777,783599.3889099346
15-19 years,2646.704904296198,6650257.978728454
20-24 years,4817.5717373926245,12190084.883026298
25-29 years,4459.842011348607,11021990.573877748
30-34 years,3883.195225632943,9437302.29098502
35-39 years,3597.3684565918957,8697327.787396668
40-44 years,3770.818894715704,9177461.032881567
45-49 years,4658.189095274496,11318764.962998468
5-9 years,130.50588637206147,308717.33555846225
50-54 years,6099.815517753177,14405743.506048284
55-59 years,7605.107207374434,16434338.630984696
60-64 years,8668.159522169459,15915368.284089342
65-69 years,9041.75057247078,13292810.618203048
70-74 years,9195.44353254934,10390846.594058989
75-79 years,9323.148628396702,7598377.692847611
80-84 years,8842.326202458833,4745371.235759147
< 1 year,6227.910725506357,2877131.770760251
