Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,7.809176723440139,14500.791302725525
10-14 years,0.7732177268467062,1899.149591235777
15-19 years,3.3200794653477494,8342.216360653412
20-24 years,11.411575941513092,28875.144358812115
25-29 years,34.764759643684016,85917.13610499451
30-34 years,80.31653677511417,195192.71951829866
35-39 years,143.51453889658296,346973.9066493051
40-44 years,249.567942338203,607401.2382495961
45-49 years,437.7898295562459,1063769.6500910954
5-9 years,1.3325868509650274,3152.2920035753677
50-54 years,631.2829282278739,1490881.145065775
55-59 years,691.0442824817011,1493319.6124175258
60-64 years,584.9072124511467,1073931.9776443427
65-69 years,382.0240051563892,561636.0141157518
70-74 years,170.87959506665516,193093.8569855228
75-79 years,43.4617635221332,35421.39116312533
80-84 years,-60.36375270321537,-32395.142319072376
< 1 year,159.7961785240616,73821.65261212448
