Age Group,Female Death Rate,Male Death Rate
1-4 years,0.48182038495928997,0.6171605630501221
10-14 years,0.24467714462863463,0.27441163681875547
15-19 years,0.34570674772681154,0.4278341954882213
20-24 years,0.7056885708839584,0.9698309041328435
25-29 years,1.636490929983695,2.47351093549179
30-34 years,3.5152852068064453,5.58862648756393
35-39 years,6.487097396377671,10.556763797110804
40-44 years,11.073006228503047,18.895056910619612
45-49 years,17.418414630077038,32.5038797030836
5-9 years,0.201081650459272,0.23335019119370365
50-54 years,24.97999300470237,49.60263859530645
55-59 years,32.87638088676927,64.95814239222598
60-64 years,42.24719179139908,76.51277886986132
65-69 years,54.98891318251533,86.00090428316678
70-74 years,78.45208075912171,103.46376259458522
75-79 years,114.59760700495133,138.2096056688208
80-84 years,175.3398597003993,198.32093541772053
< 1 year,7.050318558251966,9.647732643210547
