Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	335	22336273	1.49980258568652
1-4 years	M	465	23348094	1.99159725843146
10-14 years	F	96	30807002	0.311617469301297
10-14 years	M	111	32285044	0.343812447646037
15-19 years	F	209	31361771	0.666416446953841
15-19 years	M	399	32799616	1.21647765632378
20-24 years	F	364	32216459	1.12985725712438
20-24 years	M	838	33608072	2.49344859770593
25-29 years	F	579	33209958	1.74345297274992
25-29 years	M	1229	34606926	3.55131224310417
30-34 years	F	731	34168790	2.13937924052915
30-34 years	M	1529	35080377	4.3585620530817
35-39 years	F	788	32891850	2.39573024928668
35-39 years	M	1660	33503721	4.95467354208209
40-44 years	F	916	31319891	2.92465896512858
40-44 years	M	1699	31519949	5.39023714790909
45-49 years	F	1021	29782564	3.42818032725456
45-49 years	M	1694	29593650	5.72420096878891
5-9 years	F	91	29583597	0.307602892237884
5-9 years	M	92	30954857	0.29720699404297
50-54 years	F	1255	31187369	4.02406499887823
50-54 years	M	2284	30922631	7.38617616334134
55-59 years	F	1737	32621517	5.32470638934419
55-59 years	M	3128	31515910	9.92514574384811
60-64 years	F	2274	32546006	6.98703244877421
60-64 years	M	3836	30608745	12.5323661587563
65-69 years	F	2608	28886944	9.02830012063581
65-69 years	M	4177	26012465	16.0576861900631
70-74 years	F	3509	24153717	14.5277846883774
70-74 years	M	4125	20950833	19.6889546110171
75-79 years	F	4094	16896822	24.2294083467293
75-79 years	M	4137	13855780	29.8575756832167
80-84 years	F	5080	11154711	45.5412964083068
80-84 years	M	4261	8270854	51.5182591785564
< 1 year	F	3371	5370106	62.7734350122698
< 1 year	M	4524	5612510	80.6056470278004
