Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	788	55141393	1.4290534880031
1-4 years	M	1031	57592037	1.79017804145389
10-14 years	F	197	70946390	0.27767445249857
10-14 years	M	270	74346273	0.363165481072602
15-19 years	F	469	74597953	0.628703578501678
15-19 years	M	924	78726350	1.17368581167551
20-24 years	F	898	73754628	1.21755071424128
20-24 years	M	1947	77247274	2.5204772921825
25-29 years	F	1146	72642061	1.57759841092614
25-29 years	M	2309	73771513	3.12993445044295
30-34 years	F	1282	69208434	1.85237539112646
30-34 years	M	2383	69581216	3.42477487027533
35-39 years	F	1702	71466469	2.38153643773837
35-39 years	M	2711	71026064	3.8169086773554
40-44 years	F	2266	75182391	3.01400363816575
40-44 years	M	3641	74260384	4.90301800755568
45-49 years	F	3001	79848889	3.75834909863304
45-49 years	M	4860	77905451	6.238331127818
5-9 years	F	178	68744459	0.258929959722281
5-9 years	M	179	71785330	0.249354568684159
50-54 years	F	3444	77921219	4.41984871925579
50-54 years	M	5729	74871731	7.65175310291677
55-59 years	F	3428	69915755	4.90304367019994
55-59 years	M	5786	65723918	8.80349220811821
60-64 years	F	3612	58345098	6.19075144924772
60-64 years	M	5629	53767510	10.4691476320923
65-69 years	F	3862	44744864	8.63115820398962
65-69 years	M	5237	39751700	13.1742793389968
70-74 years	F	5413	34985842	15.4719729197885
70-74 years	M	6111	29338685	20.8291544082497
75-79 years	F	9059	29298124	30.9200684658171
75-79 years	M	8017	22386145	35.8123294564562
80-84 years	F	17045	24187176	70.4712282244111
80-84 years	M	11515	15919008	72.3349093109319
< 1 year	F	9446	13794201	68.4780510302844
< 1 year	M	13277	14415623	92.1014651950873
