Year,Hypothetical_Excess_Deaths
2000,1559.5120912248544
2001,1572.790862761858
2002,1574.8879273242876
2003,1710.2774970867422
2004,1666.835061715875
2005,1527.6155217320709
2006,1465.9338937010966
2007,1519.371996102543
2008,1631.1428852594472
2009,1423.9743510676271
2010,1240.6315044756186
2011,1088.42336075227
2012,1204.4012521024376
2013,1112.8665031029927
2014,1268.6314023036277
2015,1034.510112869705
2016,1084.697991726616
2017,1282.76449352355
2018,1265.5005020550443
2019,1118.9016402074476
2020,917.9718759099586
2021,772.7794228440921
2022,963.8094676426152
