Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,6.5613185953257585,12183.654563217204
10-14 years,0.20385658172592258,500.70520942966385
15-19 years,-0.8642309694332839,-2171.514810966899
20-24 years,-0.30331009476563464,-767.4770616021874
25-29 years,-0.34678699758595544,-737.4965451020585
30-34 years,0.19674771434154348,377.38826978074786
35-39 years,-0.28021228159401,-501.20375983551855
40-44 years,0.8727386196940108,1574.212967593777
45-49 years,0.4180095571796636,837.4757271826578
5-9 years,1.329200507767597,3144.281461842278
50-54 years,0.06053550651225259,100.1886695641619
55-59 years,0.08217051521871288,123.79118768818294
60-64 years,0.1788975833330937,222.08420774160086
65-69 years,-0.2963213780291152,-297.0137684874456
70-74 years,1.2331722706978463,585.4103441685791
75-79 years,-0.336545975476924,-75.81401478706461
80-84 years,-0.6823117374550334,-76.30481842622652
< 1 year,3452.989700719805,1595190.8769920825
