Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	211	55141393	0.382652647168344
1-4 years	M	276	57592037	0.479232918953709
10-14 years	F	123	70946390	0.173370343438193
10-14 years	M	154	74346273	0.207138829945114
15-19 years	F	213	74597953	0.285530623072191
15-19 years	M	263	78726350	0.33406858059595
20-24 years	F	283	73754628	0.383704735111673
20-24 years	M	418	77247274	0.541119418660651
25-29 years	F	405	72642061	0.557528234227826
25-29 years	M	512	73771513	0.694034836997311
30-34 years	F	517	69208434	0.747018780976897
30-34 years	M	560	69581216	0.804814908667305
35-39 years	F	703	71466469	0.983678093848459
35-39 years	M	745	71026064	1.04891072099955
40-44 years	F	1046	75182391	1.39128323279849
40-44 years	M	1020	74260384	1.37354528088624
45-49 years	F	1433	79848889	1.79463987282278
45-49 years	M	1343	77905451	1.7238845071316
5-9 years	F	125	68744459	0.181832836883624
5-9 years	M	146	71785330	0.203384173340152
50-54 years	F	1808	77921219	2.32029224286134
50-54 years	M	1818	74871731	2.42815275634538
55-59 years	F	2125	69915755	3.03937217012103
55-59 years	M	2028	65723918	3.0856346695582
60-64 years	F	2309	58345098	3.95748756819296
60-64 years	M	2180	53767510	4.05449313163284
65-69 years	F	2543	44744864	5.68333384586888
65-69 years	M	2289	39751700	5.75824430150157
70-74 years	F	2954	34985842	8.44341548218276
70-74 years	M	2544	29338685	8.67114528139213
75-79 years	F	3698	29298124	12.6219685601713
75-79 years	M	3133	22386145	13.9952635882596
80-84 years	F	5003	24187176	20.6845148023895
80-84 years	M	3691	15919008	23.1861181299739
< 1 year	F	285	13794201	2.06608559640388
< 1 year	M	367	14415623	2.54584904169594
