Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	201	54505227	0.3687719711726
1-4 years	M	224	56991009	0.393044453731289
10-14 years	F	116	70993737	0.163394694943302
10-14 years	M	121	74025035	0.163458213832658
15-19 years	F	188	72198032	0.260394909379247
15-19 years	M	222	75550932	0.293841510783745
20-24 years	F	275	76260355	0.360606766123761
20-24 years	M	361	80192752	0.450165371553778
25-29 years	F	389	78274027	0.496972003241893
25-29 years	M	467	81087779	0.575919091334343
30-34 years	F	557	75810445	0.734727252953073
30-34 years	M	630	76984052	0.818351312554969
35-39 years	F	704	72640928	0.969150614375411
35-39 years	M	782	72566087	1.07763837396937
40-44 years	F	863	70787626	1.21913962759537
40-44 years	M	865	69843523	1.23848277241112
45-49 years	F	1261	73724569	1.71042030778098
45-49 years	M	1324	72291990	1.83146154919791
5-9 years	F	96	69819546	0.137497313431399
5-9 years	M	147	72883351	0.201692153260077
50-54 years	F	1705	77339639	2.20456162201636
50-54 years	M	1791	74726578	2.39673761054601
55-59 years	F	2340	78300582	2.98848353387718
55-59 years	M	2429	74019679	3.28155975926348
60-64 years	F	2859	71002917	4.0265951327042
60-64 years	M	2871	65128628	4.4081997243977
65-69 years	F	3524	60339950	5.84024348710929
65-69 years	M	3391	53859859	6.29596895157115
70-74 years	F	3840	45862200	8.37290840823161
70-74 years	M	3463	39393089	8.79088207578746
75-79 years	F	4115	33154498	12.4115889192471
75-79 years	M	3553	26598427	13.3579327830176
80-84 years	F	4608	24206738	19.0360221191306
80-84 years	M	3822	17397051	21.9692406488893
< 1 year	F	258	13389903	1.9268250113537
< 1 year	M	364	14018968	2.59648213762953
