Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	52	22336273	0.232805177479699
1-4 years	M	75	23348094	0.321225364263139
10-14 years	F	43	30807002	0.139578658124539
10-14 years	M	52	32285044	0.161065290789134
15-19 years	F	77	31361771	0.245521848877731
15-19 years	M	99	32799616	0.301832801944998
20-24 years	F	137	32216459	0.425248473148461
20-24 years	M	161	33608072	0.479051580227512
25-29 years	F	161	33209958	0.484794349935643
25-29 years	M	207	34606926	0.59814616299639
30-34 years	F	260	34168790	0.760928320844841
30-34 years	M	309	35080377	0.880834319425929
35-39 years	F	367	32891850	1.11577792067032
35-39 years	M	387	33503721	1.15509557878661
40-44 years	F	434	31319891	1.38570086339062
40-44 years	M	414	31519949	1.31345390184483
45-49 years	F	541	29782564	1.81649907643949
45-49 years	M	581	29593650	1.96325900995653
5-9 years	F	38	29583597	0.12844955939604
5-9 years	M	44	30954857	0.142142475411855
50-54 years	F	751	31187369	2.40802614673909
50-54 years	M	727	30922631	2.35102892764849
55-59 years	F	1047	32621517	3.20953804815392
55-59 years	M	1085	31515910	3.44270560488337
60-64 years	F	1449	32546006	4.4521591988891
60-64 years	M	1463	30608745	4.7796797941242
65-69 years	F	1778	28886944	6.15502976015739
65-69 years	M	1736	26012465	6.67372353984907
70-74 years	F	2086	24153717	8.63635191221293
70-74 years	M	1988	20950833	9.48888285253383
75-79 years	F	2195	16896822	12.990608529817
75-79 years	M	2009	13855780	14.4993641642694
80-84 years	F	2045	11154711	18.3330612509818
80-84 years	M	1833	8270854	22.1621612471941
< 1 year	F	127	5370106	2.36494400669186
< 1 year	M	126	5612510	2.24498486416951
