Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	56	45676672	0.122600876000773
1-4 years	M	61	47757977	0.127727353275454
10-14 years	F	48	61847729	0.0776099636576793
10-14 years	M	53	64960054	0.0815886021277014
15-19 years	F	109	60483811	0.180213512009023
15-19 years	M	113	64188665	0.176043542890322
20-24 years	F	260	59376552	0.437883291033807
20-24 years	M	239	61985703	0.385572782807674
25-29 years	F	401	56633003	0.708067696851604
25-29 years	M	349	57672370	0.605142462499807
30-34 years	F	631	60792859	1.03795085537925
30-34 years	M	609	61383658	0.992120736760263
35-39 years	F	1027	64957965	1.58102243504703
35-39 years	M	1069	64673296	1.65292333330282
40-44 years	F	1642	68912428	2.38273421450192
40-44 years	M	1983	67757258	2.92662374265499
45-49 years	F	2569	65053497	3.94905749647863
45-49 years	M	3283	63195287	5.19500765935283
5-9 years	F	31	58128639	0.0533299945316112
5-9 years	M	32	60930800	0.0525185948649944
50-54 years	F	3644	58107486	6.27113690652526
50-54 years	M	4632	55645932	8.32405862121242
55-59 years	F	5343	47669658	11.2083875239885
55-59 years	M	6119	44836574	13.6473406732638
60-64 years	F	7246	37430470	19.3585600180815
60-64 years	M	7853	34102355	23.0277351813387
65-69 years	F	10769	31525239	34.1599313489741
65-69 years	M	11063	27391872	40.3878931677251
70-74 years	F	16748	28979391	57.7927948865454
70-74 years	M	16475	23317343	70.6555631145452
75-79 years	F	26611	26104765	101.939243659156
75-79 years	M	24472	18659772	131.148440613315
80-84 years	F	35902	19836633	180.988376404403
80-84 years	M	29893	12079635	247.466086516687
< 1 year	F	456	11614007	3.92629348337744
< 1 year	M	665	12150282	5.47312399827428
