Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	14	22336273	0.062678317013765
1-4 years	M	16	23348094	0.0685280777094696
10-14 years	F	14	30807002	0.0454442142731058
10-14 years	M	7	32285044	0.0216818660677681
15-19 years	F	41	31361771	0.130732413038792
15-19 years	M	30	32799616	0.0914644854378783
20-24 years	F	104	32216459	0.322816359178394
20-24 years	M	106	33608072	0.315400419280225
25-29 years	F	215	33209958	0.647396181591076
25-29 years	M	275	34606926	0.794638622338199
30-34 years	F	399	34168790	1.16773230775804
30-34 years	M	533	35080377	1.51936793609715
35-39 years	F	686	32891850	2.08562303427749
35-39 years	M	790	33503721	2.35794704713545
40-44 years	F	1037	31319891	3.31099492012919
40-44 years	M	1248	31519949	3.95939726932934
45-49 years	F	1596	29782564	5.35884015896012
45-49 years	M	2064	29593650	6.97446918511235
5-9 years	F	15	29583597	0.0507037734458051
5-9 years	M	19	30954857	0.061379705291483
50-54 years	F	2688	31187369	8.61887387807545
50-54 years	M	3506	30922631	11.3379744433777
55-59 years	F	4456	32621517	13.6596958381794
55-59 years	M	5613	31515910	17.8100521292262
60-64 years	F	6973	32546006	21.4250559653925
60-64 years	M	8868	30608745	28.9721123816086
65-69 years	F	10034	28886944	34.7354154181211
65-69 years	M	11746	26012465	45.1552745962368
70-74 years	F	14041	24153717	58.1318395011418
70-74 years	M	14742	20950833	70.364743969846
75-79 years	F	16044	16896822	94.9527668575783
75-79 years	M	16546	13855780	119.415868323544
80-84 years	F	17811	11154711	159.67244691503
80-84 years	M	17443	8270854	210.89720602008
< 1 year	F	74	5370106	1.37799887004093
< 1 year	M	117	5612510	2.08462880244311
