Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	62	55141393	0.112438218599229
1-4 years	M	55	57592037	0.0954993135596159
10-14 years	F	45	70946390	0.0634281744286073
10-14 years	M	46	74346273	0.0618726375160729
15-19 years	F	98	74597953	0.131370897000351
15-19 years	M	81	78726350	0.102888041932593
20-24 years	F	299	73754628	0.405398289040248
20-24 years	M	278	77247274	0.359883249731246
25-29 years	F	445	72642061	0.612592751188599
25-29 years	M	424	73771513	0.574747599388398
30-34 years	F	667	69208434	0.963755371202302
30-34 years	M	697	69581216	1.00170712739484
35-39 years	F	1150	71466469	1.60914624171512
35-39 years	M	1225	71026064	1.72471897077107
40-44 years	F	1844	75182391	2.45270198975183
40-44 years	M	2232	74260384	3.00564026170401
45-49 years	F	3211	79848889	4.02134586994692
45-49 years	M	3895	77905451	4.99965015285002
5-9 years	F	32	68744459	0.0465492062422078
5-9 years	M	34	71785330	0.0473634376271586
50-54 years	F	5221	77921219	6.70035719025392
50-54 years	M	6509	74871731	8.69353481356001
55-59 years	F	7661	69915755	10.957473033081
55-59 years	M	9410	65723918	14.3174665880388
60-64 years	F	10863	58345098	18.6185307290083
60-64 years	M	12486	53767510	23.2222024043888
65-69 years	F	14455	44744864	32.3053836972217
65-69 years	M	15268	39751700	38.4084202688187
70-74 years	F	19748	34985842	56.4456902309226
70-74 years	M	20234	29338685	68.9669629023932
75-79 years	F	28578	29298124	97.5420815339576
75-79 years	M	27708	22386145	123.772985478295
80-84 years	F	41017	24187176	169.58159977006
80-84 years	M	36837	15919008	231.40261001188
< 1 year	F	428	13794201	3.10275310617846
< 1 year	M	535	14415623	3.71125132781289
