"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Certain infectious and parasitic diseases"	"A00-B99"	231	1852123	12.5
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Neoplasms"	"C00-D48"	60	1852123	3.2
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	36	1852123	1.9
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	120	1852123	6.5
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1852123	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the nervous system"	"G00-G98"	203	1852123	11.0
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the eye and adnexa"	"H00-H57"	0	1852123	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the ear and mastoid process"	"H60-H93"	0	1852123	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	307	1852123	16.6
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	307	1852123	16.6
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the digestive system"	"K00-K92"	179	1852123	9.7
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1852123	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1852123	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the genitourinary system"	"N00-N98"	95	1852123	5.1
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1852123	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	6143	1852123	331.7
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2598	1852123	140.3
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1466	1852123	79.2
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Codes for special purposes"	"U00-U99"	0	1852123	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	540	1852123	29.2
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Certain infectious and parasitic diseases"	"A00-B99"	235	1856631	12.7
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Neoplasms"	"C00-D48"	70	1856631	3.8
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	30	1856631	1.6
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	116	1856631	6.2
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1856631	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the nervous system"	"G00-G98"	164	1856631	8.8
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the eye and adnexa"	"H00-H57"	0	1856631	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	1856631	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	306	1856631	16.5
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the respiratory system"	"J00-J98"	282	1856631	15.2
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the digestive system"	"K00-K92"	211	1856631	11.4
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1856631	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1856631	Suppressed
