Year,Hypothetical_Excess_Deaths
2000,5373.753647756547
2001,5332.648790736046
2002,5252.613701611006
2003,5327.0591412787035
2004,4972.227323662175
2005,5512.499399548412
2006,5798.014537811953
2007,5470.762629816025
2008,5731.277483862144
2009,6286.507050823257
2010,6337.433334873647
2011,6363.195711313458
2012,6650.107880805521
2013,7221.8201299844695
2014,7045.330097053369
2015,7449.287645226769
2016,7566.099357205227
2017,7796.0389414333185
2018,8846.971107028696
2019,9111.945474982862
2020,8720.602907507853
2021,7328.161641908254
2022,7815.811865262234
