Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,10.790801551376134,20037.344117972647
10-14 years,17.45600363701969,42874.80876447706
15-19 years,62.052314851773204,155916.09826684056
20-24 years,67.2987615688341,170288.61442354816
25-29 years,48.69704551332386,120349.19067934593
30-34 years,33.19081777645306,80663.41310211398
35-39 years,28.942004970995583,69972.84462089467
40-44 years,28.443499132859927,69226.10505013484
45-49 years,28.833918305997372,70062.49372722198
5-9 years,7.545162442339091,17848.40906649987
50-54 years,27.607122954768897,65198.87873147169
55-59 years,18.977102077675966,41008.773877227344
60-64 years,29.30029463191613,53797.46169952348
65-69 years,63.38127911550271,93180.55538791718
70-74 years,114.27620229173908,129132.05145156404
75-79 years,91.6377488132016,74684.87891356784
80-84 years,-201.83964045271296,-108320.36752658263
< 1 year,99.05293921644454,45759.86570257809
