Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,1.102258235432168,1956.3950557454957
10-14 years,-3.785365483341156,-9297.478654147077
15-19 years,-8.952714236983033,-22495.087831336572
20-24 years,-21.760058470414968,-55060.30304751346
25-29 years,-29.19028066866959,-72140.44747778699
30-34 years,-30.764138584741655,-74765.87157645171
35-39 years,-35.31215056245264,-85373.8926177491
40-44 years,-38.63885138825325,-94039.66694553522
45-49 years,-43.31357337404789,-105246.08312397137
5-9 years,-0.47333679389037275,-1119.6987192977958
50-54 years,-44.538362716224185,-105184.8580669209
55-59 years,-49.917953180403316,-107870.74053826644
60-64 years,-60.70308405480378,-111455.25601384364
65-69 years,-71.71618040169145,-105434.18519452309
70-74 years,-90.33278031766903,-102075.99659257586
75-79 years,-107.44315807837216,-87566.30706338935
80-84 years,-131.86528476759918,-70767.5463451403
< 1 year,0.7031483898836655,324.83615473289024
