Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,32.64369646051294,0.018391880082132606
10-14 years,-119.68492406598273,-0.04872839156598632
15-19 years,-312.9034275575302,-0.12453096390193757
20-24 years,-835.3419322706682,-0.3301305710815561
25-29 years,-1194.7429200926938,-0.48343034155908254
30-34 years,-1338.087323989053,-0.5505868253216579
35-39 years,-1678.4430819611198,-0.6942337171632734
40-44 years,-2021.3773983769188,-0.8305399565131907
45-49 years,-2455.2477718214977,-1.0104466727848829
5-9 years,-7.405311391044364,-0.0031304906321541898
50-54 years,-2580.240317804394,-1.0925496433743653
55-59 years,-2774.980653336246,-1.2841420540783641
60-64 years,-3056.199665383818,-1.664531147396171
65-69 years,-3334.44899762139,-2.268087389421747
70-74 years,-4144.502748334373,-3.66770317007607
75-79 years,-4613.104339050136,-5.660242110858796
80-84 years,-5157.209057354201,-9.609727566889902
< 1 year,12.441046012792413,0.026930196484923008
