"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD Chapter"	"ICD Chapter Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"American Indian or Alaska Native"	"1002-5"	0	20822	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian"	"A"	0	7621	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	0	34547	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	2641	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	40	371827	10.8
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"More than one race"	"M"	0	23709	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	0	20822	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Asian"	"A"	0	7621	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Black or African American"	"2054-5"	0	34547	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	2641	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	Suppressed	371827	Suppressed
