"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD Chapter"	"ICD Chapter Code"	"Single Race 6"	"Single Race 6 Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"American Indian or Alaska Native"	"1002-5"	Suppressed	13189	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian"	"A"	Suppressed	92817	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	59	247221	23.9
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Suppressed	3955	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	70	831485	8.4
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	"More than one race"	"M"	11	93157	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Asian"	"A"	Suppressed	92817	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Black or African American"	"2054-5"	Suppressed	247221	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	Suppressed	3955	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	20	831485	2.4
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	"More than one race"	"M"	Suppressed	93157	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Asian"	"A"	0	92817	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Black or African American"	"2054-5"	Suppressed	247221	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"White"	"2106-3"	15	831485	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"More than one race"	"M"	Suppressed	93157	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Asian"	"A"	Suppressed	92817	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Black or African American"	"2054-5"	12	247221	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	38	831485	4.6
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"More than one race"	"M"	Suppressed	93157	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"Asian"	"A"	0	92817	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	0	247221	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"White"	"2106-3"	0	831485	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	"More than one race"	"M"	0	93157	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"Asian"	"A"	Suppressed	92817	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"Black or African American"	"2054-5"	29	247221	11.7
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	35	831485	4.2
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	"More than one race"	"M"	Suppressed	93157	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"Asian"	"A"	0	92817	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"Black or African American"	"2054-5"	0	247221	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"White"	"2106-3"	0	831485	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	"More than one race"	"M"	0	93157	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"Asian"	"A"	0	92817	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"Black or African American"	"2054-5"	0	247221	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"White"	"2106-3"	0	831485	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	"More than one race"	"M"	0	93157	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"American Indian or Alaska Native"	"1002-5"	0	13189	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Asian"	"A"	Suppressed	92817	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Black or African American"	"2054-5"	59	247221	23.9
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	0	3955	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	71	831485	8.5
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	"More than one race"	"M"	Suppressed	93157	Suppressed
