Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	148	54505227	0.271533590714153
1-4 years	M	206	56991009	0.361460524413597
10-14 years	F	30	70993737	0.0422572486922332
10-14 years	M	28	74025035	0.0378250412174746
15-19 years	F	43	72198032	0.0595584101239768
15-19 years	M	53	75550932	0.0701513516735968
20-24 years	F	33	76260355	0.0432728119348513
20-24 years	M	35	80192752	0.0436448421174023
25-29 years	F	25	67447478	0.0370658781340942
25-29 years	M	21	46614761	0.0450501076257797
30-34 years	F	15	54207623	0.0276713848899075
30-34 years	M	39	65894921	0.0591851381079886
35-39 years	F	25	62024916	0.0403063826801474
35-39 years	M	35	51895877	0.0674427373103262
40-44 years	F	2	19810188	0.0100958153451143
40-44 years	M	27	39677057	0.0680494019503513
45-49 years	F	23	52929033	0.0434544118725917
45-49 years	M	32	51568572	0.0620532986641554
5-9 years	F	33	69819546	0.0472647014920435
5-9 years	M	54	72883351	0.0740909950751304
50-54 years	F	27	66230767	0.0407665518957375
50-54 years	M	24	54362760	0.0441478688719999
55-59 years	F	30	67003880	0.0447735265480148
55-59 years	M	17	42096217	0.0403836762814103
60-64 years	F	28	50840873	0.0550737985950792
60-64 years	M	40	56454255	0.070853826695614
65-69 years	F	13	25630771	0.050720284614146
65-69 years	M	39	46946669	0.0830729864987865
70-74 years	F	8	13252223	0.0603672304639003
70-74 years	M	14	12158544	0.115145366089887
75-79 years	M	8	3511566	0.227818585781956
80-84 years	F	17	10267083	0.165577701086083
80-84 years	M	4	2370170	0.168764265854348
< 1 year	F	34470	13389903	257.432783493652
< 1 year	M	44120	14018968	314.716461297294
