Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	77	22336273	0.344730743575708
1-4 years	M	107	23348094	0.458281519682078
10-14 years	F	11	30807002	0.0357061683574403
10-14 years	M	13	32285044	0.0402663226972836
15-19 years	F	16	31361771	0.0510175270395285
15-19 years	M	12	32799616	0.0365857941751513
20-24 years	F	12	21112668	0.0568379136166021
20-24 years	M	14	33608072	0.0416566591502184
25-29 years	F	18	33209958	0.054200610551811
25-29 years	M	14	34606926	0.0404543298644901
30-34 years	F	5	11428324	0.0437509472080071
30-34 years	M	19	35080377	0.0541613335569341
35-39 years	M	15	22566133	0.0664712912930186
40-44 years	F	10	20809135	0.0480558177934835
40-44 years	M	24	31519949	0.0761422551794103
45-49 years	F	8	9779109	0.0818070439750697
45-49 years	M	17	29593650	0.0574447558851308
5-9 years	F	10	29583597	0.0338025156305367
5-9 years	M	25	30954857	0.0807627701203724
50-54 years	F	15	31187369	0.0480963944089032
50-54 years	M	15	20487990	0.0732136241768958
55-59 years	F	1	11091171	0.00901618052773688
55-59 years	M	20	31515910	0.063460011149924
60-64 years	F	8	21643515	0.0369625728538086
60-64 years	M	14	30608745	0.045738562623198
65-69 years	F	9	9483316	0.094903512653169
65-69 years	M	18	26012465	0.0691975943071908
70-74 years	F	6	16002788	0.0374934667634165
70-74 years	M	6	7036771	0.0852663814127247
75-79 years	F	9	5432359	0.165673881273311
80-84 years	F	8	3834386	0.208638358266486
< 1 year	F	12927	5370106	240.721505311068
< 1 year	M	16125	5612510	287.304610593121
