Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	161	45676672	0.352477518502224
1-4 years	M	253	47757977	0.529754432437538
10-14 years	F	32	61847729	0.0517399757717862
10-14 years	M	32	64960054	0.0492610427940839
15-19 years	F	24	60483811	0.0396800393414363
15-19 years	M	17	64188665	0.0264844268065086
20-24 years	F	33	59376552	0.055577494631214
20-24 years	M	32	61985703	0.0516248077399396
25-29 years	F	24	56633003	0.0423781165197968
25-29 years	M	32	57672370	0.0554858418337932
30-34 years	F	24	40410422	0.059390619578286
30-34 years	M	22	50995413	0.0431411350664029
35-39 years	F	18	33432924	0.0538391437135442
35-39 years	M	13	53354600	0.0243652843428683
40-44 years	F	31	57599667	0.0538197555899064
40-44 years	M	37	56413813	0.065586773934249
45-49 years	F	15	33558859	0.0446975864107895
45-49 years	M	29	52489876	0.0552487493016749
5-9 years	F	44	58128639	0.075694185786803
5-9 years	M	60	60930800	0.0984723653718645
50-54 years	F	8	9999623	0.0800030161137075
50-54 years	M	20	36912793	0.0541817575278034
55-59 years	F	9	14169904	0.0635148974897783
55-59 years	M	20	30655244	0.0652416924164753
60-64 years	F	11	12529371	0.0877937128687466
60-64 years	M	9	6060330	0.148506764483122
65-69 years	F	15	10298432	0.145653241192446
65-69 years	M	12	9130626	0.131425818996419
70-74 years	F	1	4852844	0.0206064732350762
70-74 years	M	18	11686271	0.154026891897338
75-79 years	M	8	9381687	0.0852725101572883
80-84 years	F	2	3295412	0.0606904387069052
80-84 years	M	1	1998991	0.050025237732436
< 1 year	F	36652	11614007	315.584449019189
< 1 year	M	47862	12150282	393.91678316602
