Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	803	55141393	1.4562562828255
1-4 years	M	991	57592037	1.72072399522872
10-14 years	F	739	70946390	1.04163157561646
10-14 years	M	1041	74346273	1.40020468813548
15-19 years	F	1012	74597953	1.35660558943219
15-19 years	M	1877	78726350	2.38420808280836
20-24 years	F	1301	73754628	1.76395710381727
20-24 years	M	2368	77247274	3.0654803430345
25-29 years	F	1374	72642061	1.89146615760255
25-29 years	M	2088	73771513	2.83036081962966
30-34 years	F	1581	69208434	2.28440366097577
30-34 years	M	2183	69581216	3.13734097432273
35-39 years	F	2198	71466469	3.07556820807811
35-39 years	M	2761	71026064	3.88730537003993
40-44 years	F	3499	75182391	4.65401532654102
40-44 years	M	4242	74260384	5.71233243286218
45-49 years	F	5478	79848889	6.86045863455908
45-49 years	M	6801	77905451	8.72981275726136
5-9 years	F	623	68744459	0.906254859027984
5-9 years	M	773	71785330	1.07682168487628
50-54 years	F	8375	77921219	10.7480351404667
50-54 years	M	9673	74871731	12.9194288295538
55-59 years	F	11271	69915755	16.1208299903219
55-59 years	M	12267	65723918	18.6644381121649
60-64 years	F	14477	58345098	24.8127100583497
60-64 years	M	15708	53767510	29.2146688585728
65-69 years	F	18357	44744864	41.025937636105
65-69 years	M	19914	39751700	50.0959707383584
70-74 years	F	28188	34985842	80.5697344657304
70-74 years	M	30325	29338685	103.361824158104
75-79 years	F	55342	29298124	188.892640361547
75-79 years	M	52318	22386145	233.707054072954
80-84 years	F	101290	24187176	418.775635485515
80-84 years	M	76663	15919008	481.58151563213
< 1 year	F	1126	13794201	8.16285046158165
< 1 year	M	1413	14415623	9.80186565644787
