Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	707	54505227	1.2971233015872
1-4 years	M	828	56991009	1.45286074861387
10-14 years	F	760	70993737	1.07051696686991
10-14 years	M	1007	74025035	1.36035058949989
15-19 years	F	891	72198032	1.23410566094101
15-19 years	M	1747	75550932	2.31234738441082
20-24 years	F	1284	76260355	1.68370577346512
20-24 years	M	2460	80192752	3.06760890310885
25-29 years	F	1612	78274027	2.05943154042656
25-29 years	M	2679	81087779	3.30382707855397
30-34 years	F	1984	75810445	2.61705362631759
30-34 years	M	2814	76984052	3.6553025294122
35-39 years	F	2513	72640928	3.4594822356895
35-39 years	M	3242	72566087	4.46765167315691
40-44 years	F	3412	70787626	4.82005145927623
40-44 years	M	4166	69843523	5.96476211545056
45-49 years	F	5528	73724569	7.49817879572819
45-49 years	M	6689	72291990	9.25275400497344
5-9 years	F	586	69819546	0.839306517404166
5-9 years	M	781	72883351	1.07157531766068
50-54 years	F	8592	77339639	11.1094389773399
50-54 years	M	10328	74726578	13.8210530662865
55-59 years	F	13824	78300582	17.6550411847513
55-59 years	M	15883	74019679	21.4578071866537
60-64 years	F	20071	71002917	28.2678527137132
60-64 years	M	22558	65128628	34.6360743235678
65-69 years	F	29510	60339950	48.9062387356967
65-69 years	M	32174	53859859	59.7365098932027
70-74 years	F	46259	45862200	100.865200535517
70-74 years	M	49080	39393089	124.590381830681
75-79 years	F	77434	33154498	233.555036785657
75-79 years	M	75177	26598427	282.637014587366
80-84 years	F	129501	24206738	534.979145062833
80-84 years	M	103954	17397051	597.538054006969
< 1 year	F	884	13389903	6.60198957378556
< 1 year	M	1101	14018968	7.85364514706075
