Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	254	22336273	1.13716375153545
1-4 years	M	332	23348094	1.42195761247149
10-14 years	F	345	30807002	1.11987528030154
10-14 years	M	468	32285044	1.44958761710221
15-19 years	F	441	31361771	1.406170589027
15-19 years	M	810	32799616	2.46954110682271
20-24 years	F	658	32216459	2.04243427249407
20-24 years	M	1166	33608072	3.46940461208248
25-29 years	F	767	33209958	2.30954823851328
25-29 years	M	1332	34606926	3.8489405271072
30-34 years	F	1021	34168790	2.98810698300993
30-34 years	M	1575	35080377	4.48968949221954
35-39 years	F	1278	32891850	3.88546098805631
35-39 years	M	1762	33503721	5.25911733804135
40-44 years	F	1660	31319891	5.3001461595125
40-44 years	M	2178	31519949	6.90990965753149
45-49 years	F	2349	29782564	7.88716512117627
45-49 years	M	2762	29593650	9.33308327969007
5-9 years	F	252	29583597	0.851823393889526
5-9 years	M	302	30954857	0.975614263054098
50-54 years	F	3582	31187369	11.4854189848461
50-54 years	M	4421	30922631	14.2969723371857
55-59 years	F	6175	32621517	18.9292239229708
55-59 years	M	7237	31515910	22.9630050346
60-64 years	F	10351	32546006	31.8042097085584
60-64 years	M	11769	30608745	38.4497959651727
65-69 years	F	16488	28886944	57.0776887994798
65-69 years	M	18338	26012465	70.496971355848
70-74 years	F	30351	24153717	125.65767827784
70-74 years	M	30818	20950833	147.096776533897
75-79 years	F	50660	16896822	299.81969390457
75-79 years	M	46827	13855780	337.960042668114
80-84 years	F	75644	11154711	678.135005021645
80-84 years	M	58934	8270854	712.550360579452
< 1 year	F	312	5370106	5.80994118179418
< 1 year	M	413	5612510	7.35856149922227
