Year,Hypothetical_Excess_Deaths
2000,6746.367953714548
2001,7357.1814644190345
2002,8061.7452403084535
2003,9379.312524111829
2004,9732.657509405433
2005,10377.530986153972
2006,10718.48018298986
2007,11224.396280005216
2008,11153.012293089028
2009,12014.432987568081
2010,12507.190018999449
2011,13204.148770717728
2012,13961.430758580484
2013,14659.098838368467
2014,15880.099909707329
2015,16935.871862940297
2016,17495.334024378695
2017,19354.628244850603
2018,20638.507270795144
2019,22519.10634833051
2020,25846.645118333498
2021,26373.03679250017
2022,26112.83010296687
