Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,1.3152389336210888,2442.255562281216
10-14 years,2.865296008166382,7037.637076519734
15-19 years,0.7850405815314119,1972.5366369633762
20-24 years,10.695397226552359,27062.970134394018
25-29 years,25.70310593085199,63522.29306965187
30-34 years,50.304630423287364,122254.99269444123
35-39 years,77.53442222011154,187454.3275151708
40-44 years,131.06120175172055,318978.212845125
45-49 years,197.57074790444017,480070.00432051014
5-9 years,3.668540781183875,8678.092359189544
50-54 years,275.01716614883946,649499.4387567571
55-59 years,357.0896850488722,771656.8150458558
60-64 years,406.5938749562324,746535.783684312
65-69 years,402.0358549427126,591056.6143852893
70-74 years,342.85491543024864,387425.88300872326
75-79 years,264.8278446968591,215835.0218144676
80-84 years,194.61277694466116,104441.95935313952
< 1 year,70.99346062616917,32797.12091042557
