Year,excess_deaths_male
2000,4897.460692136147
2001,4918.2822541178075
2002,5165.542576810192
2003,5225.958297072735
2004,5452.230990468921
2005,5535.246507884966
2006,6016.6597115711875
2007,4385.822191222217
2008,4228.451130302144
2009,4001.192416764845
2010,4552.786904799153
2011,4236.473252875681
2012,3995.852969064729
2013,4294.197644341304
2014,4655.848512048927
2015,5284.227863398662
2016,6299.145948902859
2017,6460.1611029157275
2018,6451.866480563131
2019,6645.300297512151
2020,8409.415143317274
2021,9154.906763472336
2022,9122.836800392852
