Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-1.0534365922196054,-1869.7416579081194
10-14 years,-1.4740013994866397,-3620.389261808787
15-19 years,5.891859668942022,14804.214368337109
20-24 years,24.592851722845666,62228.22748861038
25-29 years,46.18654599217627,114144.77761103504
30-34 years,68.84395911743552,167310.9940007085
35-39 years,108.69738037514168,262796.7521707753
40-44 years,153.92045339851003,374613.3141551446
45-49 years,199.74176415057238,485345.27806277835
5-9 years,-0.06940811822828064,-164.1879145931666
50-54 years,241.63762532020232,570668.0212938018
55-59 years,246.1751470309518,531974.8451298747
60-64 years,226.08029725102915,415099.78944480454
65-69 years,156.6187617699528,230254.4759202016
70-74 years,54.63574172010476,61738.36082584753
75-79 years,-169.12616993370102,-137838.03821241707
80-84 years,-560.2087292205542,-300644.68656733877
< 1 year,3.9539181239549563,867.3820502835647
