Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,-17.147230231230296,-0.009660970917769386
10-14 years,-39.644540844966,-0.016140835822247963
15-19 years,280.8249736434223,0.11176421085742747
20-24 years,1202.5496950403056,0.4752525908743336
25-29 years,2414.343557757615,0.9769188928754482
30-34 years,4007.892557061963,1.6491396336111628
35-39 years,6863.394168568945,2.838821105828079
40-44 years,10820.055943652786,4.445725375245338
45-49 years,15610.897951821244,6.424597987884426
5-9 years,5.821802532949093,0.0024610846633254663
50-54 years,20920.697665603093,8.858438733779348
55-59 years,23421.95359438774,10.838675780699486
60-64 years,22838.637256938986,12.438854538479028
65-69 years,17334.352574548528,11.790801570565215
70-74 years,11623.188759015728,10.28601230267423
75-79 years,3068.142893698998,3.7645867798912747
80-84 years,-7187.293453955877,-13.392501887685967
< 1 year,15.330510170328147,0.06988337145335183
