Age Group,Female Death Rate,Male Death Rate
1-4 years,3.010251657432573,3.023871345136506
10-14 years,0.786035983789551,0.8977413341029019
15-19 years,0.810839462850158,1.146993629206562
20-24 years,0.8315122222321834,1.1579480640216917
25-29 years,0.8398438224434089,1.170598255582815
30-34 years,0.9125740401737927,1.1743439843548413
35-39 years,0.9724859947551387,1.1763286541152345
40-44 years,1.0791936596409875,1.3098797797433042
45-49 years,1.3316719960316818,1.591447237424972
5-9 years,0.9183465267128952,0.9536920857481802
50-54 years,1.7386631241773525,2.064641818180155
55-59 years,2.332089633884771,2.6548375951343606
60-64 years,2.3378963501278927,2.8136145700312754
65-69 years,1.9535097667059178,2.314035483618724
70-74 years,1.9092237975267419,2.1345142188116015
75-79 years,2.3498350833962443,2.7079713400190655
80-84 years,3.3016205603312394,3.7118094497153047
< 1 year,124.57826857715357,131.49013224407105
