Year,excess_deaths_male
2000,531.702940381571
2001,588.9638231862841
2002,473.72150731151453
2003,541.6784370169951
2004,444.99929104612033
2005,574.8151106894115
2006,722.8465583351724
2007,553.0107494571639
2008,556.3715491534623
2009,519.8950951242416
2010,308.279850902376
2011,509.87849625143076
2012,580.0483517199151
2013,583.5114149010266
2014,436.30247771327737
2015,657.6456660676398
2016,440.5832990899838
2017,566.3986296882666
2018,551.3556550906239
2019,507.405157724191
2020,509.21421553423676
2021,431.3397306902375
2022,459.37754957153015
