Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-13.776719701271873,-25581.86916485678
10-14 years,3.556654669174158,8735.727372256757
15-19 years,16.618812529502634,41757.352866169334
20-24 years,14.552565915648657,36822.91067939626
25-29 years,13.407433598652979,33134.94208274857
30-34 years,8.466281984935662,20575.546098003706
35-39 years,4.733085587442751,11443.141645488253
40-44 years,4.462062487604214,10859.817389707248
45-49 years,3.5534959517467826,8634.511105526135
5-9 years,-2.0226956462565653,-4784.77429575704
50-54 years,3.140686210970607,7417.260383784604
55-59 years,-0.1084793579348684,-234.41964119121317
60-64 years,2.5162909014734325,4620.092224240671
65-69 years,0.39069840489145236,574.3887606088765
70-74 years,-1.0297154209957249,-1163.5779108674587
75-79 years,-0.4181338239702619,-340.7795850217052
80-84 years,-1.2407382734195451,-665.8614010590715
< 1 year,-100.64065561777534,-46493.34912945469
