Age Group,Excess Deaths Number,Excess Death Rate
1-4 years,567.473134328568,0.3056038735584963
10-14 years,305.61516638186504,0.12442783092505039
15-19 years,674.3171736129275,0.2683683213735608
20-24 years,1317.7033144813909,0.5207617754125233
25-29 years,1295.9070684649532,0.5243645190952342
30-34 years,1336.315245339405,0.5498576627771525
35-39 years,1291.5378565529172,0.5342028792326898
40-44 years,1502.0971324252569,0.6171790028150088
45-49 years,2884.4736821256847,1.187092752222382
5-9 years,378.8672202708194,0.1601607577667078
50-54 years,7841.185797098922,3.320188699920166
55-59 years,18910.554896037735,8.75099391369237
60-64 years,38639.54519413272,21.044674281377027
65-69 years,61811.58697622773,42.044152134560846
70-74 years,88480.04060235334,78.30095553347886
75-79 years,120501.84296009468,147.85479707993414
80-84 years,144356.42721833818,268.9877262430558
< 1 year,2004.2972898362632,4.338551579504546
