Age Group,Female Death Rate,Male Death Rate
1-4 years,1.6255809249561093,1.9311847985146056
10-14 years,0.7293424990585258,0.8537703299835762
15-19 years,0.8213154249024857,1.0896837462760465
20-24 years,1.3066620635077166,1.82742383892024
25-29 years,1.8354450303548093,2.3598095494500435
30-34 years,2.646464716503999,3.1963223792811517
35-39 years,4.008559992830468,4.542762872063157
40-44 years,6.95078701446602,7.567966017281029
45-49 years,12.492274903523322,13.679367655745704
5-9 years,0.6823517984815737,0.8425125562482815
50-54 years,23.49771317752859,26.817901877448755
55-59 years,43.73029101992936,52.48128493362173
60-64 years,78.88493742597844,99.92961170735546
65-69 years,137.14327396526716,179.187426099828
70-74 years,241.20184070669646,319.5027962401753
75-79 years,400.624123025758,548.4789201056922
80-84 years,636.1105483841849,905.0982746272407
< 1 year,11.714305786896492,16.05285736640104
