Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	757	55141393	1.37283437870349
1-4 years	M	811	57592037	1.40818078721543
10-14 years	F	567	70946390	0.799194997800452
10-14 years	M	721	74346273	0.969786340197578
15-19 years	F	1100	74597953	1.47457129286108
15-19 years	M	2039	78726350	2.58998416667355
20-24 years	F	2198	73754628	2.98015197093801
20-24 years	M	4118	77247274	5.33093245465206
25-29 years	F	3726	72642061	5.129259754896
25-29 years	M	6961	73771513	9.4358916022232
30-34 years	F	6334	69208434	9.15206374991811
30-34 years	M	12101	69581216	17.3911878746126
35-39 years	F	11273	71466469	15.7738309416126
35-39 years	M	22583	71026064	31.7953702178963
40-44 years	F	21774	75182391	28.9615689397269
40-44 years	M	44529	74260384	59.9633311888072
45-49 years	F	40129	79848889	50.2561782669262
45-49 years	M	85264	77905451	109.445486683595
5-9 years	F	461	68744459	0.670599502426807
5-9 years	M	478	71785330	0.665874211346524
50-54 years	F	60685	77921219	77.8799417909517
50-54 years	M	136318	74871731	182.068716963416
55-59 years	F	81496	69915755	116.56314088291
55-59 years	M	181119	65723918	275.575476191179
60-64 years	F	110104	58345098	188.71165491915
60-64 years	M	215838	53767510	401.428297497876
65-69 years	F	136199	44744864	304.390242419778
65-69 years	M	232054	39751700	583.758682018631
70-74 years	F	186794	34985842	533.913118340842
70-74 years	M	264369	29338685	901.093556169951
75-79 years	F	291580	29298124	995.217304698417
75-79 years	M	335387	22386145	1498.19006354153
80-84 years	F	464272	24187176	1919.49651335898
80-84 years	M	420446	15919008	2641.15703692089
< 1 year	F	1704	13794201	12.3530170395516
< 1 year	M	2137	14415623	14.8241945561423
