Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	232	22336273	1.03866925337096
1-4 years	M	280	23348094	1.19924135991572
10-14 years	F	258	30807002	0.837471948747236
10-14 years	M	319	32285044	0.988073610802575
15-19 years	F	477	31361771	1.52096002486594
15-19 years	M	759	32799616	2.31405148157832
20-24 years	F	886	32216459	2.75014705992362
20-24 years	M	1485	33608072	4.41858134557674
25-29 years	F	1803	33209958	5.42909449027307
25-29 years	M	3360	34606926	9.70903916747763
30-34 years	F	3601	34168790	10.538857243701
30-34 years	M	6728	35080377	19.1788132721607
35-39 years	F	5982	32891850	18.1868760802448
35-39 years	M	12081	33503721	36.0586813625866
40-44 years	F	10157	31319891	32.4298702061256
40-44 years	M	20341	31519949	64.5337338585161
45-49 years	F	15621	29782564	52.4501517062131
45-49 years	M	32397	29593650	109.472809200622
5-9 years	F	156	29583597	0.527319243836373
5-9 years	M	167	30954857	0.539495304404088
50-54 years	F	25342	31187369	81.2572551406949
50-54 years	M	56074	30922631	181.336445789493
55-59 years	F	42110	32621517	129.086578039887
55-59 years	M	91195	31515910	289.361785840866
60-64 years	F	65890	32546006	202.451876890823
60-64 years	M	134574	30608745	439.658666175304
65-69 years	F	87336	28886944	302.337277352703
65-69 years	M	158306	26012465	608.577464688564
70-74 years	F	117897	24153717	488.111208722036
70-74 years	M	179142	20950833	855.059080467111
75-79 years	F	145726	16896822	862.446204380919
75-79 years	M	186101	13855780	1343.12900464644
80-84 years	F	180410	11154711	1617.34356004382
80-84 years	M	189900	8270854	2296.01441398917
< 1 year	F	537	5370106	9.99980261097267
< 1 year	M	607	5612510	10.8151254964356
