Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
15-19 years	M	9	10745607	0.0837551568748047
20-24 years	F	8	10568188	0.0756988804514076
20-24 years	M	17	34081748	0.0498800707052936
25-29 years	F	2	10620319	0.0188318260496695
25-29 years	M	18	34373848	0.0523653912707126
30-34 years	M	7	22443741	0.0311890963275686
35-39 years	M	3	10173424	0.0294885969561477
40-44 years	M	10	19937292	0.0501572630826694
5-9 years	M	4	10508974	0.0380627071681784
55-59 years	F	9	11234902	0.0801075078358494
55-59 years	M	2	10669327	0.0187453247988369
60-64 years	F	2	10714416	0.0186664396827601
60-64 years	M	5	9856730	0.0507267623238133
75-79 years	F	1	5334166	0.0187470731132102
75-79 years	M	7	4318499	0.162093356974264
80-84 years	F	3	3637483	0.0824746122524834
80-84 years	M	8	2679724	0.298538207666163
