Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2001	2	7468536	0.0267790099692898
1-4 years	F	2020	8	7613266	0.105079738446023
1-4 years	F	2021	26	7459995	0.348525702765216
1-4 years	F	2022	41	7263012	0.564504092792357
1-4 years	M	2001	1	7817023	0.0127925938045724
1-4 years	M	2020	11	7953016	0.138312308185976
1-4 years	M	2021	28	7802850	0.358843243173968
1-4 years	M	2022	60	7592228	0.790281851388025
10-14 years	F	2001	1	10231469	0.00977376757922054
10-14 years	F	2020	14	10159455	0.137802667564353
10-14 years	F	2021	38	10459561	0.363303966581389
10-14 years	F	2022	33	10187986	0.323910928028366
10-14 years	M	2001	2	10747209	0.018609482703835
10-14 years	M	2020	18	10594968	0.169891971358479
10-14 years	M	2021	42	10988223	0.382227408380773
10-14 years	M	2022	37	10701853	0.345734519059456
15-19 years	F	2020	59	10266332	0.57469405820891
15-19 years	F	2021	137	10541690	1.29960186649389
15-19 years	F	2022	69	10553749	0.653796106009343
15-19 years	M	2001	7	10547387	0.0663671485648531
15-19 years	M	2019	9	10745607	0.0837551568748047
15-19 years	M	2020	60	10694597	0.561030957968776
15-19 years	M	2021	218	11022976	1.97768733235017
15-19 years	M	2022	93	11082043	0.8391954443779
20-24 years	F	2001	39	9676950	0.403019546448003
20-24 years	F	2019	8	10568188	0.0756988804514076
20-24 years	F	2020	134	10561909	1.26871004095945
20-24 years	F	2021	426	10550759	4.03762421262774
20-24 years	F	2022	110	11103791	0.990652651873581
20-24 years	M	2001	75	10080336	0.74402281828701
20-24 years	M	2015	7	11667854	0.0599938943356679
20-24 years	M	2017	6	11349142	0.0528674326217788
20-24 years	M	2019	4	11064752	0.036150832842887
20-24 years	M	2020	252	11032846	2.28408880174707
20-24 years	M	2021	624	10973238	5.68656216150602
20-24 years	M	2022	176	11601988	1.51698140008419
25-29 years	F	2001	93	9303113	0.999665380824677
25-29 years	F	2013	2	10620319	0.0188318260496695
25-29 years	F	2020	280	11356117	2.46563151823814
25-29 years	F	2021	759	11013419	6.89159288319095
25-29 years	F	2022	222	10840422	2.04789075554439
25-29 years	M	2001	235	9516234	2.469464285977
25-29 years	M	2013	8	10959879	0.0729935065888957
25-29 years	M	2015	2	11409399	0.0175294071142573
25-29 years	M	2019	8	12004570	0.0666412874430321
25-29 years	M	2020	515	11875126	4.33679608957412
25-29 years	M	2021	1341	11379058	11.7848067915639
25-29 years	M	2022	387	11352742	3.40886809547861
30-34 years	F	2001	110	10263930	1.07171424590776
30-34 years	F	2020	510	11269150	4.52562970587844
30-34 years	F	2021	1501	11428324	13.1340343518437
30-34 years	F	2022	413	11471316	3.60028439631512
30-34 years	M	2001	384	10388245	3.69648578754159
30-34 years	M	2017	5	11089131	0.0450891958982178
30-34 years	M	2019	2	11354610	0.0176139911454467
30-34 years	M	2020	955	11569253	8.25463839368021
30-34 years	M	2021	2533	11674304	21.6972249480569
30-34 years	M	2022	618	11836820	5.22099685557439
35-39 years	F	2001	103	11141510	0.924470740501063
35-39 years	F	2020	721	10890716	6.62031770913868
35-39 years	F	2021	2340	11035485	21.2043240510046
35-39 years	F	2022	607	10965649	5.53546807854236
35-39 years	M	2001	451	11094408	4.06511100006418
35-39 years	M	2015	3	10173424	0.0294885969561477
35-39 years	M	2020	1548	10937588	14.1530289859154
35-39 years	M	2021	3960	11263833	35.1567712340906
35-39 years	M	2022	869	11302300	7.68870052998062
40-44 years	F	2001	106	11500919	0.921665477341419
40-44 years	F	2020	1293	10199608	12.6769577811226
40-44 years	F	2021	3725	10510756	35.4398865314731
40-44 years	F	2022	995	10609527	9.3783634275119
40-44 years	M	2001	388	11314915	3.42910220713103
40-44 years	M	2015	4	10030153	0.0398797505880518
40-44 years	M	2019	6	9907139	0.0605623883948736
40-44 years	M	2020	2522	10108280	24.9498430989248
40-44 years	M	2021	5988	10593780	56.5237337380992
40-44 years	M	2022	1373	10817889	12.6919401742798
45-49 years	F	2001	92	10505949	0.875694332801349
45-49 years	F	2020	2166	10097702	21.4504250571071
45-49 years	F	2021	5450	9905753	55.0185331695632
45-49 years	F	2022	1554	9779109	15.8910182921573
45-49 years	M	2001	274	10193034	2.68811033103588
45-49 years	M	2020	4435	9872904	44.9209270139768
45-49 years	M	2021	9253	9875757	93.6940834003915
45-49 years	M	2022	2147	9844989	21.8080487443917
5-9 years	F	2001	9	9844298	0.0914234818978458
5-9 years	F	2020	4	9890958	0.0404409764959067
5-9 years	F	2021	24	9915390	0.24204796785603
5-9 years	F	2022	29	9777249	0.296606949459915
5-9 years	M	2013	4	10508974	0.0380627071681784
5-9 years	M	2020	10	10346753	0.0966486780925378
5-9 years	M	2021	39	10376158	0.375861662862111
5-9 years	M	2022	33	10231946	0.322519293983764
50-54 years	F	2001	64	9541132	0.670779945188894
50-54 years	F	2020	3414	10343739	33.0054731659413
50-54 years	F	2021	8011	10470724	76.508558529477
50-54 years	F	2022	2394	10372906	23.0793569323775
50-54 years	M	2001	199	9146153	2.1757781659677
50-54 years	M	2020	6958	10051788	69.2215156149334
50-54 years	M	2021	14171	10436202	135.786946247303
50-54 years	M	2022	3586	10434641	34.366299712659
55-59 years	F	2001	45	7209396	0.624185438003406
55-59 years	F	2019	9	11234902	0.0801075078358494
55-59 years	F	2020	5837	11091171	52.6274457404002
55-59 years	F	2021	11853	10937255	108.372713263063
55-59 years	F	2022	3991	10593091	37.6755000027848
55-59 years	M	2001	124	6759579	1.83443377168904
55-59 years	M	2018	2	10669327	0.0187453247988369
55-59 years	M	2020	10799	10511928	102.730916726218
55-59 years	M	2021	19357	10630059	182.096825614985
55-59 years	M	2022	5725	10373923	55.1864516441851
60-64 years	F	2001	29	5834170	0.497071562878696
