Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
15-19 years	M	2019	9	10745607	0.0837551568748047
20-24 years	F	2019	8	10568188	0.0756988804514076
20-24 years	M	2015	7	11667854	0.0599938943356679
20-24 years	M	2017	6	11349142	0.0528674326217788
20-24 years	M	2019	4	11064752	0.036150832842887
25-29 years	F	2013	2	10620319	0.0188318260496695
25-29 years	M	2013	8	10959879	0.0729935065888957
25-29 years	M	2015	2	11409399	0.0175294071142573
25-29 years	M	2019	8	12004570	0.0666412874430321
30-34 years	M	2017	5	11089131	0.0450891958982178
30-34 years	M	2019	2	11354610	0.0176139911454467
35-39 years	M	2015	3	10173424	0.0294885969561477
40-44 years	M	2015	4	10030153	0.0398797505880518
40-44 years	M	2019	6	9907139	0.0605623883948736
5-9 years	M	2013	4	10508974	0.0380627071681784
55-59 years	F	2019	9	11234902	0.0801075078358494
55-59 years	M	2018	2	10669327	0.0187453247988369
60-64 years	F	2019	2	10714416	0.0186664396827601
60-64 years	M	2019	5	9856730	0.0507267623238133
75-79 years	F	2019	1	5334166	0.0187470731132102
75-79 years	M	2019	7	4318499	0.162093356974264
80-84 years	F	2019	3	3637483	0.0824746122524834
80-84 years	M	2019	8	2679724	0.298538207666163
