Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	75	22336273	0.335776698288027
1-4 years	M	99	23348094	0.424017480827343
10-14 years	F	85	30807002	0.275911300943857
10-14 years	M	97	32285044	0.300448715510501
15-19 years	F	265	31361771	0.84497779159219
15-19 years	M	371	32799616	1.13111080324843
20-24 years	F	670	32216459	2.07968231393773
20-24 years	M	1052	33608072	3.13020038757356
25-29 years	F	1261	33209958	3.79705388365743
25-29 years	M	2243	34606926	6.48136156328938
30-34 years	F	2424	34168790	7.09419326818421
30-34 years	M	4106	35080377	11.7045492413038
35-39 years	F	3668	32891850	11.1516986730755
35-39 years	M	6377	33503721	19.0337067336491
40-44 years	F	6013	31319891	19.1986619621377
40-44 years	M	9883	31519949	31.354746164088
45-49 years	F	9170	29782564	30.789827229113
45-49 years	M	15835	29593650	53.5081005553556
5-9 years	F	57	29583597	0.192674339094059
5-9 years	M	82	30954857	0.264901885994821
50-54 years	F	13819	31187369	44.3096049557755
50-54 years	M	24715	30922631	79.92528190761
55-59 years	F	21681	32621517	66.4622678338349
55-59 years	M	35881	31515910	113.850433003521
60-64 years	F	32388	32546006	99.5145149300347
60-64 years	M	50140	30608745	163.809394994796
65-69 years	F	40287	28886944	139.4643891718
65-69 years	M	60163	26012465	231.285270350196
70-74 years	F	49346	24153717	204.299818533106
70-74 years	M	71287	20950833	340.258547237716
75-79 years	F	52538	16896822	310.934209995229
75-79 years	M	71969	13855780	519.415002258985
80-84 years	F	54802	11154711	491.290182237801
80-84 years	M	67741	8270854	819.032714155032
< 1 year	F	119	5370106	2.21597115587663
< 1 year	M	149	5612510	2.6547836885814
