Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	28	38039979	0.0736067703928017
1-4 years	M	24	47757977	0.0502533848952605
10-14 years	F	8	20602891	0.0388295021315212
10-14 years	M	13	32724674	0.0397253766378238
15-19 years	M	5	10391004	0.0481185456188834
20-24 years	F	8	10222806	0.0782564004442616
20-24 years	M	3	20185779	0.0148619481071303
25-29 years	F	10	18551699	0.0539034187650414
25-29 years	M	14	19264920	0.0726709480236617
30-34 years	F	13	20099084	0.0646795645015464
30-34 years	M	19	51265302	0.0370621048911406
35-39 years	F	13	33432924	0.0388838260153375
35-39 years	M	37	54069238	0.0684307775892828
40-44 years	F	23	46098748	0.0498928951389309
40-44 years	M	31	67757258	0.0457515562391855
45-49 years	F	30	54547548	0.0549978891810132
45-49 years	M	24	63195287	0.0379775156334047
5-9 years	F	10	19870526	0.0503257940932213
50-54 years	F	23	39557850	0.0581426948127868
50-54 years	M	24	46499779	0.051613148527007
55-59 years	F	26	31701291	0.0820155873147248
55-59 years	M	18	37163973	0.0484340035442389
60-64 years	F	27	30569919	0.0883221182234732
60-64 years	M	34	34102355	0.0996998594378599
65-69 years	F	22	26392056	0.0833584166387037
65-69 years	M	20	22814782	0.0876624637482839
70-74 years	F	40	28979391	0.138029125594806
70-74 years	M	30	23317343	0.12865959899462
75-79 years	F	47	26104765	0.180043758294702
75-79 years	M	36	18659772	0.192928402340607
80-84 years	F	36	19836633	0.181482411858908
80-84 years	M	26	12079635	0.215238291554339
< 1 year	F	28	9681068	0.289224288064086
< 1 year	M	8	12150282	0.0658420932123222
