Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	6	7263012	0.0826103550427839
10-14 years	F	8	10187986	0.0785238613402099
10-14 years	M	9	10988223	0.0819058732244513
15-19 years	F	2	10541690	0.0189722900218086
15-19 years	M	1	11082043	0.00902360692879463
20-24 years	F	8	21654550	0.0369437369975363
25-29 years	F	3	10840422	0.0276741993992485
30-34 years	F	8	11428324	0.0700015155328113
30-34 years	M	8	11569253	0.0691488032978447
45-49 years	F	9	9905753	0.0908562933075355
45-49 years	M	9	19720746	0.0456372187948671
5-9 years	M	9	10231946	0.0879598074501175
50-54 years	M	6	10436202	0.0574921796262663
55-59 years	F	2	21684262	0.00922327907677928
55-59 years	M	12	20885851	0.0574551642640752
60-64 years	F	23	32546006	0.0706691936331604
60-64 years	M	4	20310765	0.0196939898620264
65-69 years	F	6	28886944	0.0207706291118922
65-69 years	M	24	26012465	0.0922634590762544
70-74 years	F	7	16271175	0.043020863582378
70-74 years	M	15	20950833	0.0715961985855169
75-79 years	F	19	16896822	0.11244718089591
75-79 years	M	14	13855780	0.101040865256232
80-84 years	F	12	11154711	0.107577865531433
80-84 years	M	16	8270854	0.193450398229735
