Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	13	15510155	0.0838160547073837
1-4 years	M	7	8142467	0.0859690312530588
10-14 years	F	8	10220687	0.0782726249223756
10-14 years	M	9	10618261	0.0847596419036978
15-19 years	F	4	20659322	0.019361719615
15-19 years	M	2	10801846	0.0185153537645325
20-24 years	M	17	34153321	0.0497755401297578
25-29 years	F	12	22972676	0.0522359693750959
25-29 years	M	31	47335037	0.0654906005460606
30-34 years	F	1	10785909	0.00927135580320583
30-34 years	M	15	21873483	0.0685761842318391
35-39 years	M	9	20161711	0.0446390685790507
40-44 years	F	3	20408858	0.0146994995996346
40-44 years	M	26	49847809	0.0521587618825935
45-49 years	F	12	21022584	0.0570814700990135
45-49 years	M	16	30918402	0.0517491169174914
5-9 years	F	1	9936097	0.0100643139856626
5-9 years	M	2	10315990	0.0193873782351476
50-54 years	F	23	32858739	0.0699965996869204
50-54 years	M	23	41954966	0.0548206855894008
55-59 years	F	35	66993146	0.0522441504687659
55-59 years	M	32	63319159	0.0505376263762442
60-64 years	F	25	50619801	0.0493877879922918
60-64 years	M	22	56454255	0.0389696046825877
65-69 years	F	37	52644423	0.0702828483845288
65-69 years	M	22	39697563	0.0554190190465848
70-74 years	F	21	26636892	0.0788380265985987
70-74 years	M	17	23001207	0.073909164853827
75-79 years	F	28	28743740	0.0974125148641061
75-79 years	M	38	22699611	0.16740374978232
80-84 years	F	34	24206738	0.140456760427613
80-84 years	M	30	14806685	0.202611185420639
< 1 year	F	10	3772991	0.265041713590093
< 1 year	M	7	2016727	0.347097053790622
