Year,ageadjrate_male,ageadjrate_female,shortname
2000,22.4982353803623,13.1003749835676,Infections
2001,22.5105448698135,13.3970126445041,Infections
2002,23.3757927688349,14.0793854426038,Infections
2003,22.8633625352894,14.183164032719,Infections
2004,22.3286872028697,14.0581583314877,Infections
2005,22.2723503002571,14.0808883804813,Infections
2006,21.8050048158589,14.1629959902406,Infections
2007,21.0815648180433,13.9607950374932,Infections
2008,20.6958736143218,14.1291285869043,Infections
2009,20.5404219721102,14.0674693957453,Infections
2010,19.3943983960646,13.3477499846074,Infections
2011,18.9448620114153,13.2630181716799,Infections
2012,18.5101478905536,12.9799242020684,Infections
2013,18.6785324467278,13.1056341397645,Infections
2014,18.2165872738817,13.0376047305841,Infections
2015,18.2297216808975,12.8576228494247,Infections
2016,17.4599822835199,12.5308014810729,Infections
2017,16.6000685641156,12.1355676543953,Infections
2018,16.0639007347443,11.6822089756413,Infections
2019,15.2297867425055,10.9586805399322,Infections
2020,15.9928889272349,11.4905554987996,Infections
2021,16.158855455834,11.7584424711382,Infections
2022,15.9782516429241,11.7245377003448,Infections
2000,215.444598622872,150.018399991518,Neoplasms
2001,210.939450406952,147.590872498779,Neoplasms
2002,207.3981943865,146.004927753057,Neoplasms
2003,202.666516379931,143.777578169925,Neoplasms
2004,197.589342010037,140.845856424461,Neoplasms
2005,195.238214548402,139.225527286321,Neoplasms
2006,190.841187146339,137.657353779751,Neoplasms
2007,187.454374625609,135.249623618786,Neoplasms
2008,184.387221700932,132.442644603231,Neoplasms
2009,180.511864404703,130.621377449785,Neoplasms
2010,178.807932648614,129.545616869694,Neoplasms
2011,174.336154725906,126.979251212809,Neoplasms
2012,171.431271372233,125.462217561755,Neoplasms
2013,167.387688477467,123.154351915713,Neoplasms
2014,164.885794190459,121.801197549619,Neoplasms
2015,161.71241758869,119.660904347173,Neoplasms
2016,157.758773001797,118.015660032863,Neoplasms
2017,153.632284096792,115.212704773254,Neoplasms
2018,149.572825870501,112.737950001509,Neoplasms
2019,146.121675718243,109.966085629735,Neoplasms
2020,143.811212441199,108.899028228709,Neoplasms
2021,142.001050950085,109.664777715105,Neoplasms
2022,139.135820870321,108.203557393963,Neoplasms
2000,2.5367453774008,2.45561622393535,Blood-related
2001,2.53542177931012,2.46684147432077,Blood-related
2002,2.55133891993817,2.43602670211739,Blood-related
2003,2.52986158924729,2.30787774340836,Blood-related
2004,2.47069128232637,2.2483198584498,Blood-related
2005,2.46228304779697,2.2935828953951,Blood-related
2006,2.22763086973055,2.17914352226431,Blood-related
2007,2.41239727386554,2.24620572374949,Blood-related
2008,2.37388298431918,2.24186816440063,Blood-related
2009,2.30777315995563,2.14449475921408,Blood-related
2010,2.25987344390838,2.10566271170493,Blood-related
2011,2.37499753977133,2.1749996094618,Blood-related
2012,2.37086364741383,2.21441307021796,Blood-related
2013,2.31365874775599,2.09483662589425,Blood-related
2014,2.37434596947132,2.199296142961,Blood-related
2015,2.36396850512604,2.1216997085263,Blood-related
2016,2.31595987461857,2.17870346843767,Blood-related
2017,2.2901905754081,2.11159186104119,Blood-related
2018,2.27903708837231,2.07101251260427,Blood-related
2019,2.27052326896237,2.00176564749399,Blood-related
2020,2.39793824541182,2.09722398735531,Blood-related
2021,2.41397813691528,2.26413898863031,Blood-related
2022,2.45480043585339,2.25928031316528,Blood-related
2000,29.4406967840105,23.9631810320482,Endocrine and Metabolic
2001,29.733892856335,23.9126499070241,Endocrine and Metabolic
2002,30.3105506547696,24.1041433186605,Endocrine and Metabolic
2003,30.7595357322794,23.5918782179175,Endocrine and Metabolic
2004,30.0506071272372,22.7731927115165,Endocrine and Metabolic
2005,30.6032421232043,23.0701734562515,Endocrine and Metabolic
2006,29.5014254221089,21.8161335841597,Endocrine and Metabolic
